Step,State,Action,SINR1,SINR2,SINR3,C1,C2,C3
45,[ 8.299999 21.800003 27.400002],[-0.1  0.1  0.1],-10.080437,-10.453421,-6.323905,0.13509473,0.124442086,0.30233198
46,[ 8.199999 21.900003 27.300001],[-0.1  0.1 -0.1],-8.87256,-6.343543,-4.350899,0.17586504,0.30110094,0.45123088
47,[ 8.199999 21.800003 27.400002],[ 0.  -0.1  0.1],-9.347871,-6.832603,-3.8486977,0.15859783,0.27186435,0.49796608
48,[ 8.199999 21.900003 27.300001],[ 0.   0.1 -0.1],-8.87256,-6.343543,-4.350899,0.17586504,0.30110094,0.45123088
49,[ 8.099998 21.900003 27.400002],[-0.1  0.   0.1],-8.839827,-8.013331,-5.9723067,0.17711702,0.2116397,0.3251509
50,[ 8.099998 22.000004 27.300001],[ 0.   0.1 -0.1],-16.624994,-19.384905,-1.786781,0.031045236,0.016526926,0.73353446
1,[ 8.5 21.1 26.9],[ 0.1  0.1 -0.1],-13.451769,-8.159248,-3.878722,0.063733764,0.20512103,0.4950618
2,[ 8.4 21.  26.9],[-0.1 -0.1  0. ],-12.175817,-5.4634476,-3.893818,0.08487033,0.36089274,0.493607
3,[ 8.299999 21.       27.      ],[-0.1  0.   0.1],-14.816355,-9.232938,-2.646963,0.046824425,0.16262013,0.62632734
4,[ 8.199999 21.1      27.      ],[-0.1  0.1  0. ],-10.502434,-6.1913605,-12.213024,0.12310343,0.31076002,0.08416705
5,[ 8.299999 21.2      26.9     ],[ 0.1  0.1 -0.1],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
6,[ 8.4 21.1 27. ],[ 0.1 -0.1  0.1],-18.60569,-7.112894,-1.7061914,0.019752748,0.2562938,0.74426436
7,[ 8.299999 21.2      27.      ],[-0.1  0.1  0. ],-9.455723,-7.0479198,-7.3368692,0.15490925,0.259829,0.24444208
8,[ 8.199999 21.300001 26.9     ],[-0.1  0.1 -0.1],-6.807511,-9.260897,-9.475399,0.27329934,0.16163291,0.15424518
9,[ 8.199999 21.2      26.9     ],[ 0.  -0.1  0. ],-7.8952913,-6.5442286,-5.5036507,0.2170532,0.2887764,0.35794765
10,[ 8.299999 21.2      26.9     ],[0.1 0.  0. ],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
11,[ 8.199999 21.1      26.9     ],[-0.1 -0.1  0. ],-10.704052,-5.3199124,-5.496566,0.11774074,0.37158206,0.35846516
12,[ 8.099998 21.1      27.      ],[-0.1  0.   0.1],-7.9286723,-6.86816,-9.562946,0.21550931,0.2698425,0.15132289
13,[ 8.099998 21.       27.1     ],[ 0.  -0.1  0.1],-15.641625,-9.963446,-3.430731,0.038828924,0.13861163,0.5398935
14,[ 8.199999 21.1      27.2     ],[0.1 0.1 0.1],-15.821131,-17.444416,-0.25759375,0.037276816,0.025754297,0.95784897
15,[ 8.299999 21.2      27.2     ],[0.1 0.1 0. ],-12.533862,-7.725575,-4.5745435,0.07833293,0.22506179,0.43164995
16,[ 8.299999 21.1      27.300001],[ 0.  -0.1  0.1],-19.414198,-6.9219303,-3.147597,0.016416576,0.26681098,0.5699191
17,[ 8.4 21.1 27.2],[ 0.1  0.  -0.1],-13.5604315,-7.048036,-7.0247574,0.062192257,0.2598227,0.26109993
18,[ 8.5      21.2      27.300001],[0.1 0.1 0.1],-15.982619,-8.907091,-2.2683666,0.035932906,0.17455314,0.6718806
19,[ 8.5 21.2 27.2],[ 0.1  0.  -0.1],-18.154087,-5.762937,-3.459731,0.021901047,0.33945793,0.536893
20,[ 8.5      21.2      27.300001],[0.1 0.  0.1],-15.982619,-8.907091,-2.2683666,0.035932906,0.17455314,0.6718806
21,[ 8.5      21.300001 27.400002],[0.  0.1 0.1],-20.432262,-10.567437,-2.191405,0.01300143,0.121349484,0.6814523
22,[ 8.5      21.400002 27.400002],[0.1 0.1 0. ],-11.786618,-5.6235485,-4.938374,0.09257715,0.34929,0.40135413
23,[ 8.4      21.400002 27.300001],[-0.1  0.  -0.1],-8.805878,-10.17606,-2.6802902,0.17842445,0.13228352,0.62243795
24,[ 8.299999 21.500002 27.400002],[-0.1  0.1  0.1],-10.270888,-4.9405293,-4.083328,0.12955093,0.40118033,0.47564688
25,[ 8.4      21.400002 27.400002],[ 0.1 -0.1  0. ],-8.865671,-6.9964685,-5.3262296,0.17612779,0.26265994,0.37110594
26,[ 8.5      21.400002 27.500002],[0.1 0.  0.1],-13.466559,-6.1473713,-3.454829,0.06352181,0.31360343,0.53739923
27,[ 8.5      21.300001 27.400002],[ 0.  -0.1 -0.1],-20.432262,-10.567437,-2.191405,0.01300143,0.121349484,0.6814523
28,[ 8.4      21.300001 27.500002],[-0.1  0.   0.1],-16.664328,-11.049799,-0.11737301,0.030768152,0.109062575,0.9806365
29,[ 8.5      21.300001 27.600002],[0.1 0.  0.1],-20.54398,-3.3034666,-6.13623,0.012672614,0.55322474,0.31432724
30,[ 8.4      21.300001 27.700003],[-0.1  0.   0.1],-19.370638,-8.274581,-5.9198933,0.016580993,0.20010132,0.32868123
31,[ 8.5      21.2      27.600002],[ 0.1 -0.1 -0.1],-12.509234,-8.078584,-1.26244,0.07876649,0.20870113,0.8054983
32,[ 8.5      21.300001 27.500002],[ 0.1  0.1 -0.1],-22.459164,-6.4183125,-2.2268765,0.008166313,0.29645485,0.6770275
33,[ 8.4      21.400002 27.500002],[-0.1  0.1  0. ],-9.103423,-4.619957,-9.863648,0.1672679,0.42776397,0.14168058
34,[ 8.5      21.300001 27.400002],[ 0.1 -0.1 -0.1],-20.432262,-10.567437,-2.191405,0.01300143,0.121349484,0.6814523
35,[ 8.5      21.400002 27.300001],[ 0.   0.1 -0.1],-9.614698,-6.0361075,-9.165735,0.14962015,0.32089928,0.1650163
36,[ 8.4      21.500002 27.400002],[-0.1  0.1  0.1],-8.092991,-10.706874,-3.3512504,0.2080575,0.11766736,0.54818785
37,[ 8.4      21.600002 27.500002],[0.  0.1 0.1],-10.316251,-6.263717,-3.6716146,0.12826279,0.30613333,0.5153862
38,[ 8.5      21.700003 27.400002],[ 0.1  0.1 -0.1],-12.194791,-10.226507,-2.601457,0.084510945,0.130823,0.6316691
39,[ 8.4      21.600002 27.500002],[-0.1 -0.1  0.1],-10.316251,-6.263717,-3.6716146,0.12826279,0.30613333,0.5153862
40,[ 8.4      21.600002 27.500002],[0. 0. 0.],-10.316251,-6.263717,-3.6716146,0.12826279,0.30613333,0.5153862
41,[ 8.5      21.600002 27.400002],[ 0.1  0.  -0.1],-8.9082985,-5.187337,-5.5724926,0.17450742,0.38170084,0.35295388
42,[ 8.5      21.500002 27.500002],[ 0.  -0.1  0.1],-8.62953,-3.9979017,-9.128435,0.1853629,0.48367348,0.16636063
43,[ 8.5      21.600002 27.500002],[0.1 0.1 0. ],-9.881514,-7.9271584,-1.1721667,0.14112642,0.21557923,0.81840456
44,[ 8.5      21.700003 27.500002],[0.1 0.1 0. ],-9.899064,-9.361493,-6.78575,0.14058407,0.1581275,0.27454948
45,[ 8.5      21.800003 27.600002],[0.1 0.1 0.1],-16.93661,-12.435757,-1.7779572,0.028917097,0.08007387,0.7347034
46,[ 8.5      21.800003 27.600002],[0. 0. 0.],-16.93661,-12.435757,-1.7779572,0.028917097,0.08007387,0.7347034
47,[ 8.4      21.900003 27.600002],[-0.1  0.1  0. ],-10.377089,-14.54491,-5.577876,0.12655465,0.04979289,0.35256588
48,[ 8.4      21.900003 27.700003],[0.  0.  0.1],-13.768604,-12.729887,-0.366358,0.059340503,0.074964106,0.9404322
49,[ 8.5      21.900003 27.800003],[0.1 0.  0.1],-21.285234,-7.663089,-2.44082,0.010691487,0.22807841,0.6508166
50,[ 8.4      21.900003 27.900003],[-0.1  0.   0.1],-16.841665,-3.8368897,-6.048834,0.029549599,0.49911204,0.3200571
1,[ 8.5 21.1 27.1],[0.  0.1 0.1],-11.473786,-7.221534,-3.7513523,0.099259034,0.2504809,0.5074804
2,[ 8.5 21.1 27.2],[0.  0.  0.1],-9.072366,-8.662476,-8.401331,0.16840096,0.18404782,0.19471703
3,[ 8.5 21.2 27.1],[ 0.   0.1 -0.1],-19.554947,-5.28697,-4.111621,0.01589583,0.37407422,0.4730133
4,[ 8.4 21.1 27.1],[-0.1 -0.1  0. ],-16.659037,-8.617252,-1.7904803,0.030805357,0.18585527,0.73304474
5,[ 8.4 21.2 27.2],[0.  0.1 0.1],-19.323801,-11.542172,-0.84127325,0.016759839,0.0977597,0.8670239
6,[ 8.299999 21.1      27.300001],[-0.1 -0.1  0.1],-19.414198,-6.9219303,-3.147597,0.016416576,0.26681098,0.5699191
7,[ 8.199999 21.       27.2     ],[-0.1 -0.1 -0.1],-16.081177,-8.889038,-7.8139033,0.035136368,0.1752378,0.22086023
8,[ 8.299999 21.1      27.300001],[0.1 0.1 0.1],-19.414198,-6.9219303,-3.147597,0.016416576,0.26681098,0.5699191
9,[ 8.299999 21.2      27.400002],[0.  0.1 0.1],-16.800251,-12.376389,-1.5938323,0.02982995,0.08114548,0.75942355
10,[ 8.199999 21.2      27.400002],[-0.1  0.   0. ],-13.025816,-5.8506975,-2.0592926,0.07014437,0.33339423,0.6981311
11,[ 8.299999 21.2      27.300001],[ 0.1  0.  -0.1],-14.044209,-11.452302,-3.4606647,0.055761363,0.09973465,0.5367967
12,[ 8.199999 21.1      27.2     ],[-0.1 -0.1 -0.1],-15.821131,-17.444416,-0.25759375,0.037276816,0.025754297,0.95784897
13,[ 8.299999 21.       27.1     ],[ 0.1 -0.1 -0.1],-13.174019,-6.9722958,-4.57643,0.06784545,0.26399955,0.43148792
14,[ 8.199999 21.1      27.2     ],[-0.1  0.1  0.1],-15.821131,-17.444416,-0.25759375,0.037276816,0.025754297,0.95784897
15,[ 8.099998 21.1      27.2     ],[-0.1  0.   0. ],-10.234712,-8.377064,-5.4551277,0.13058689,0.1957373,0.3615049
16,[ 8.099998 21.1      27.300001],[0.  0.  0.1],-11.914442,-8.217814,-4.066024,0.08997411,0.2025576,0.47726354
17,[ 8.099998 21.1      27.2     ],[ 0.   0.  -0.1],-10.234712,-8.377064,-5.4551277,0.13058689,0.1957373,0.3615049
18,[ 8.099998 21.2      27.1     ],[ 0.   0.1 -0.1],-8.467994,-7.5454135,-3.3784223,0.1919398,0.2338613,0.54534066
19,[ 8.199999 21.300001 27.1     ],[0.1 0.1 0. ],-7.5523453,-9.310843,-4.8414598,0.23351684,0.15988335,0.4092389
20,[ 8.199999 21.300001 27.1     ],[0. 0. 0.],-7.5523453,-9.310843,-4.8414598,0.23351684,0.15988335,0.4092389
21,[ 8.099998 21.300001 27.1     ],[-0.1  0.   0. ],-7.886231,-8.358838,-7.828977,0.21747394,0.19650696,0.2201504
22,[ 7.9999986 21.2       27.       ],[-0.1 -0.1 -0.1],-7.5090117,-13.174459,-5.401517,0.23567726,0.06783872,0.3654713
23,[ 7.9999986 21.300001  26.9      ],[ 0.   0.1 -0.1],-14.175171,-10.274318,-2.1739335,0.05413561,0.12945315,0.68364
24,[ 8.099998 21.2      27.      ],[ 0.1 -0.1  0.1],-8.690728,-7.9618692,-2.4898717,0.18292698,0.2139842,0.6449216
25,[ 8.099998 21.1      27.1     ],[ 0.  -0.1  0.1],-9.107271,-6.96204,-7.228581,0.16712807,0.26456988,0.25010812
26,[ 8.199999 21.1      27.      ],[ 0.1  0.  -0.1],-10.502434,-6.1913605,-12.213024,0.12310343,0.31076002,0.08416705
27,[ 8.099998 21.1      27.      ],[-0.1  0.   0. ],-7.9286723,-6.86816,-9.562946,0.21550931,0.2698425,0.15132289
28,[ 8.199999 21.       27.1     ],[ 0.1 -0.1  0.1],-18.719002,-8.115663,-3.3903768,0.01924746,0.20704828,0.54409176
29,[ 8.099998 21.       27.1     ],[-0.1  0.   0. ],-15.641625,-9.963446,-3.430731,0.038828924,0.13861163,0.5398935
30,[ 8.199999 21.       27.      ],[ 0.1  0.  -0.1],-19.559734,-7.8026543,-1.4528935,0.01587848,0.22139123,0.7787691
31,[ 8.299999 21.1      27.1     ],[0.1 0.1 0.1],-19.02802,-6.4836226,-4.313261,0.017933697,0.29244956,0.45459962
32,[ 8.299999 21.       27.1     ],[ 0.  -0.1  0. ],-13.174019,-6.9722958,-4.57643,0.06784545,0.26399955,0.43148792
33,[ 8.199999 21.1      27.      ],[-0.1  0.1 -0.1],-10.502434,-6.1913605,-12.213024,0.12310343,0.31076002,0.08416705
34,[ 8.099998 21.       26.9     ],[-0.1 -0.1 -0.1],-11.361821,-7.665673,-6.577597,0.10176205,0.22795299,0.28677192
35,[ 7.9999986 21.1       26.8      ],[-0.1  0.1 -0.1],-7.733744,-6.970941,-6.133633,0.22467002,0.26407486,0.31449613
36,[ 8.099998 21.       26.699999],[ 0.1 -0.1 -0.1],-9.314894,-5.472408,-5.830182,0.15974218,0.36023465,0.33480301
37,[ 8.199999 21.1      26.699999],[0.1 0.1 0. ],-8.294068,-6.6515217,-5.2296634,0.19926466,0.2823758,0.37844452
38,[ 8.199999 21.2      26.8     ],[0.  0.1 0.1],-7.6881466,-5.7674475,-6.107277,0.22686431,0.3391439,0.31621525
39,[ 8.199999 21.1      26.9     ],[ 0.  -0.1  0.1],-10.704052,-5.3199124,-5.496566,0.11774074,0.37158206,0.35846516
40,[ 8.199999 21.       27.      ],[ 0.  -0.1  0.1],-19.559734,-7.8026543,-1.4528935,0.01587848,0.22139123,0.7787691
41,[ 8.299999 21.       27.      ],[ 0.1 -0.1  0. ],-14.816355,-9.232938,-2.646963,0.046824425,0.16262013,0.62632734
42,[ 8.199999 21.       26.9     ],[-0.1 -0.1 -0.1],-17.06513,-6.4966207,-4.196829,0.028081926,0.2916582,0.46515644
43,[ 8.099998 21.       26.8     ],[-0.1 -0.1 -0.1],-9.284869,-5.300705,-10.447501,0.16079085,0.37303346,0.12460474
44,[ 8.099998 21.       26.699999],[ 0.   0.  -0.1],-9.314894,-5.472408,-5.830182,0.15974218,0.36023465,0.33480301
45,[ 8.099998 21.       26.699999],[ 0.  -0.1  0. ],-9.314894,-5.472408,-5.830182,0.15974218,0.36023465,0.33480301
46,[ 7.9999986 21.        26.699999 ],[-0.1 -0.1  0. ],-7.1511497,-10.436749,-4.462819,0.25423297,0.12490066,0.441339
47,[ 7.9999986 21.        26.599998 ],[ 0.  -0.1 -0.1],-5.973968,-11.013506,-6.554851,0.32503957,0.109943815,0.28813696
48,[ 7.9999986 21.        26.699999 ],[ 0.  -0.1  0.1],-7.1511497,-10.436749,-4.462819,0.25423297,0.12490066,0.441339
49,[ 7.9999986 21.        26.599998 ],[ 0.   0.  -0.1],-5.973968,-11.013506,-6.554851,0.32503957,0.109943815,0.28813696
50,[ 7.8999987 21.        26.499998 ],[-0.1  0.  -0.1],-7.6039753,-6.218121,-5.410557,0.23096666,0.30904162,0.3647998
1,[ 8.4 21.  26.9],[-0.1 -0.1 -0.1],-12.175817,-5.4634476,-3.893818,0.08487033,0.36089274,0.493607
2,[ 8.5 21.1 26.9],[0.1 0.1 0. ],-13.451769,-8.159248,-3.878722,0.063733764,0.20512103,0.4950618
3,[ 8.4 21.1 27. ],[-0.1  0.   0.1],-18.60569,-7.112894,-1.7061914,0.019752748,0.2562938,0.74426436
4,[ 8.299999 21.2      27.      ],[-0.1  0.1  0. ],-9.455723,-7.0479198,-7.3368692,0.15490925,0.259829,0.24444208
5,[ 8.199999 21.300001 26.9     ],[-0.1  0.1 -0.1],-6.807511,-9.260897,-9.475399,0.27329934,0.16163291,0.15424518
6,[ 8.299999 21.2      26.9     ],[ 0.1 -0.1  0. ],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
7,[ 8.199999 21.1      26.9     ],[-0.1 -0.1  0. ],-10.704052,-5.3199124,-5.496566,0.11774074,0.37158206,0.35846516
8,[ 8.299999 21.2      26.9     ],[0.1 0.1 0. ],-9.831474,-9.074518,-2.385999,0.1426836,0.16832215,0.65745527
9,[ 8.4 21.2 26.8],[ 0.1  0.  -0.1],-11.303387,-6.038869,-4.511186,0.10309231,0.3207164,0.4371219
10,[ 8.5      21.300001 26.699999],[ 0.1  0.1 -0.1],-7.725254,-8.717224,-9.630044,0.22507706,0.18188155,0.14911881
11,[ 8.4      21.400002 26.599998],[-0.1  0.1 -0.1],-8.493247,-6.852923,-4.4896755,0.1908974,0.27070722,0.43899307
12,[ 8.5      21.300001 26.599998],[ 0.1 -0.1  0. ],-7.600395,-8.001113,-7.9399447,0.23114264,0.21219414,0.21499035
13,[ 8.5      21.2      26.599998],[ 0.  -0.1  0. ],-12.194143,-8.665808,-2.628565,0.084523275,0.1839152,0.6284827
14,[ 8.5      21.300001 26.699999],[0.  0.1 0.1],-7.725254,-8.717224,-9.630044,0.22507706,0.18188155,0.14911881
15,[ 8.4      21.400002 26.599998],[-0.1  0.1 -0.1],-8.493247,-6.852923,-4.4896755,0.1908974,0.27070722,0.43899307
